ticker,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,exit_reason
034020.KS,2018-04-19,2018-04-30,8,12983.0,14170.0,9.15,secretary_trigger
035420.KS,2018-04-20,2018-05-21,20,140828.0,131930.0,-6.32,force_liquidate
005380.KS,2018-04-30,2018-05-23,15,119198.0,107650.0,-9.69,stop_loss
035420.KS,2018-05-21,2018-06-08,13,131930.0,135605.0,2.79,secretary_trigger
009540.KS,2018-06-26,2018-07-02,5,102557.0,94201.0,-8.15,stop_loss
005380.KS,2018-06-14,2018-07-03,14,100573.0,91607.0,-8.92,stop_loss
005380.KS,2018-07-03,2018-07-16,10,91607.0,94610.0,3.28,secretary_trigger
090430.KS,2018-07-04,2018-07-19,12,282163.0,259362.0,-8.08,stop_loss
005490.KS,2018-07-11,2018-07-24,10,232474.0,242160.0,4.17,secretary_trigger
009540.KS,2018-07-02,2018-07-27,20,94201.0,100658.0,6.85,secretary_trigger
034020.KS,2018-07-09,2018-07-27,15,11676.0,11756.0,0.68,secretary_trigger
035420.KS,2018-07-05,2018-08-01,20,147986.0,140828.0,-4.84,force_liquidate
090430.KS,2018-07-19,2018-08-16,20,259362.0,244636.0,-5.68,force_liquidate
009540.KS,2018-08-22,2018-09-05,11,111103.0,114427.0,2.99,secretary_trigger
090430.KS,2018-08-20,2018-09-14,20,242261.0,255087.0,5.29,force_liquidate
005380.KS,2018-09-10,2018-10-10,18,98365.0,90105.0,-8.4,stop_loss
034020.KS,2018-09-18,2018-10-10,12,11795.0,10608.0,-10.07,stop_loss
035420.KS,2018-10-02,2018-10-18,11,133284.0,120903.0,-9.29,stop_loss
035420.KS,2018-10-18,2018-10-26,7,120903.0,109297.0,-9.6,stop_loss
005490.KS,2018-10-04,2018-11-01,20,205885.0,193884.0,-5.83,force_liquidate
035420.KS,2018-10-26,2018-11-06,8,109297.0,113166.0,3.54,secretary_trigger
005930.KS,2018-10-25,2018-11-09,12,33857.0,36582.0,8.05,secretary_trigger
207940.KS,2018-11-02,2018-11-09,6,610837.0,559870.0,-8.34,stop_loss
207940.KS,2018-11-09,2018-11-12,2,559870.0,434356.0,-22.42,stop_loss
005380.KS,2018-10-25,2018-11-20,19,82596.0,73210.0,-11.36,stop_loss
105560.KS,2018-10-30,2018-11-26,20,33504.0,32713.0,-2.36,force_liquidate
034020.KS,2018-11-14,2018-11-26,9,8193.0,9064.0,10.63,secretary_trigger
009540.KS,2018-11-22,2018-12-04,9,128671.0,131520.0,2.21,secretary_trigger
207940.KS,2018-11-12,2018-12-07,20,434356.0,508904.0,17.16,force_liquidate
005930.KS,2018-12-06,2019-01-07,20,33444.0,32297.0,-3.43,force_liquidate
090430.KS,2018-12-26,2019-01-11,11,190009.0,173934.0,-8.46,stop_loss
034020.KS,2019-01-07,2019-01-17,9,7758.0,8510.0,9.69,secretary_trigger
105560.KS,2019-01-17,2019-01-31,11,34082.0,34405.0,0.95,secretary_trigger
207940.KS,2019-01-09,2019-02-08,20,588777.0,575845.0,-2.2,force_liquidate
034020.KS,2019-02-13,2019-02-14,2,8272.0,7457.0,-9.86,stop_loss
005490.KS,2019-01-22,2019-02-21,20,204440.0,210948.0,3.18,force_liquidate
034020.KS,2019-02-14,2019-02-22,7,7457.0,6610.0,-11.36,stop_loss
034020.KS,2019-02-22,2019-03-22,20,6610.0,6230.0,-5.75,force_liquidate
009540.KS,2019-03-25,2019-04-03,8,110629.0,115851.0,4.72,secretary_trigger
034020.KS,2019-03-28,2019-04-15,13,5954.0,6656.0,11.78,secretary_trigger
207940.KS,2019-05-02,2019-05-08,4,512707.0,453373.0,-11.57,stop_loss
034020.KS,2019-05-07,2019-05-13,5,6062.0,5523.0,-8.9,stop_loss
005490.KS,2019-05-07,2019-05-24,14,192936.0,176730.0,-8.4,stop_loss
207940.KS,2019-05-08,2019-06-04,20,453373.0,478476.0,5.54,secretary_trigger
034020.KS,2019-05-13,2019-06-10,20,5523.0,5685.0,2.93,force_liquidate
005490.KS,2019-05-24,2019-06-12,13,176730.0,187920.0,6.33,secretary_trigger
090430.KS,2019-06-12,2019-07-02,15,166767.0,152909.0,-8.31,stop_loss
034020.KS,2019-07-09,2019-07-19,9,5406.0,5631.0,4.16,secretary_trigger
009540.KS,2019-06-26,2019-07-22,19,113477.0,103507.0,-8.79,stop_loss
035420.KS,2019-07-17,2019-07-26,8,115405.0,136740.0,18.49,secretary_trigger
090430.KS,2019-07-02,2019-07-29,20,152909.0,144308.0,-5.63,force_liquidate
090430.KS,2019-07-29,2019-08-01,4,144308.0,127584.0,-11.59,stop_loss
005490.KS,2019-07-15,2019-08-02,15,185200.0,168859.0,-8.82,stop_loss
207940.KS,2019-08-05,2019-08-14,8,393278.0,441202.0,12.19,secretary_trigger
009540.KS,2019-08-02,2019-08-19,11,96859.0,97809.0,0.98,secretary_trigger
090430.KS,2019-08-01,2019-08-26,17,127584.0,115160.0,-9.74,stop_loss
090430.KS,2019-08-26,2019-09-11,13,115160.0,135707.0,17.84,secretary_trigger
090430.KS,2019-10-02,2019-10-16,9,137618.0,147653.0,7.29,secretary_trigger
005380.KS,2019-10-07,2019-11-04,20,99278.0,96176.0,-3.13,force_liquidate
005490.KS,2019-11-28,2019-12-09,8,182504.0,182896.0,0.22,secretary_trigger
