ticker,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,exit_reason
034020.KS,2023-01-31,2023-04-17,54,16700.0,19300.0,15.57,secretary_trigger
009540.KS,2023-01-31,2023-05-22,77,75588.0,91447.0,20.98,take_profit
090430.KS,2023-03-22,2023-05-30,47,123759.0,106998.0,-13.54,stop_loss
034020.KS,2023-05-17,2023-06-09,16,15770.0,18970.0,20.29,take_profit
090430.KS,2023-05-30,2023-07-05,26,106998.0,93745.0,-12.39,stop_loss
207940.KS,2023-04-11,2023-07-10,61,1248479.0,1088576.0,-12.81,stop_loss
090430.KS,2023-07-05,2023-08-02,21,93745.0,116547.0,24.32,take_profit
105560.KS,2023-03-24,2023-09-11,117,40993.0,49130.0,19.85,secretary_trigger
035420.KS,2023-07-31,2023-10-04,43,222724.0,187599.0,-15.77,stop_loss
009540.KS,2023-09-27,2023-10-20,13,105406.0,91922.0,-12.79,stop_loss
005490.KS,2023-10-12,2023-10-20,7,482192.0,421686.0,-12.55,stop_loss
005930.KS,2023-04-07,2023-11-07,143,61233.0,67475.0,10.19,secretary_trigger
009540.KS,2023-10-20,2023-12-27,48,91922.0,110914.0,20.66,take_profit
035420.KS,2023-10-12,2024-01-11,63,189953.0,227975.0,20.02,take_profit
005490.KS,2023-10-20,2024-01-22,64,421686.0,370953.0,-12.03,stop_loss
207940.KS,2023-07-10,2024-02-02,141,1088576.0,1320743.0,21.33,take_profit
005380.KS,2023-10-17,2024-02-02,76,165338.0,199107.0,20.42,take_profit
090430.KS,2024-03-05,2024-04-16,30,111535.0,134784.0,20.84,take_profit
005490.KS,2024-03-27,2024-04-17,15,400760.0,349429.0,-12.81,stop_loss
034020.KS,2023-12-11,2024-05-09,100,15510.0,17640.0,13.73,secretary_trigger
090430.KS,2024-07-12,2024-08-07,19,151853.0,122129.0,-19.57,stop_loss
005930.KS,2024-03-26,2024-09-05,112,76401.0,66574.0,-12.86,stop_loss
105560.KS,2024-09-25,2024-10-15,12,73460.0,90810.0,23.62,take_profit
005930.KS,2024-09-26,2024-10-24,18,62425.0,54916.0,-12.03,stop_loss
005380.KS,2024-08-02,2024-11-06,62,225220.0,192090.0,-14.71,stop_loss
090430.KS,2024-10-04,2024-11-12,27,129094.0,109083.0,-15.5,stop_loss
005490.KS,2024-07-24,2024-11-13,74,328610.0,275880.0,-16.05,stop_loss
035420.KS,2024-06-12,2024-11-26,113,165836.0,192622.0,16.15,secretary_trigger
034020.KS,2024-10-17,2024-12-06,37,21150.0,18080.0,-14.52,stop_loss
105560.KS,2024-10-16,2024-12-09,39,90620.0,78651.0,-13.21,stop_loss
009540.KS,2024-10-17,2024-12-23,48,187262.0,218409.0,16.63,secretary_trigger
034020.KS,2024-12-18,2025-01-17,20,18060.0,21750.0,20.43,take_profit
090430.KS,2024-11-21,2025-01-31,45,106728.0,127230.0,19.21,secretary_trigger
005490.KS,2024-12-17,2025-02-12,35,252015.0,220036.0,-12.69,stop_loss
009540.KS,2025-04-07,2025-04-14,6,180964.0,219645.0,21.37,take_profit
090430.KS,2025-04-09,2025-04-29,15,100331.0,122043.0,21.64,take_profit
105560.KS,2025-02-28,2025-05-08,46,75118.0,90659.0,20.69,take_profit
035420.KS,2025-04-07,2025-06-18,48,189806.0,240969.0,26.96,take_profit
005930.KS,2024-10-24,2025-06-27,164,54916.0,60113.0,9.46,secretary_trigger
005380.KS,2024-11-15,2025-06-27,148,191625.0,199122.0,3.91,secretary_trigger
005490.KS,2025-06-25,2025-06-27,3,262281.0,253036.0,-3.53,secretary_trigger
