,005930.KS,009540.KS,034020.KS,105560.KS,005380.KS,005490.KS,207940.KS,090430.KS,035420.KS
2018-01-02,41205.99609375,97308.296875,12349.234375,43365.953125,111375.3125,250321.1875,592580.0,296888.75,171199.28125
2018-01-03,41690.58203125,105907.6328125,12388.8154296875,43365.953125,112120.2890625,263981.71875,594862.0625,295938.6875,168491.03125
2018-01-04,41254.46484375,112696.5859375,12784.6240234375,43297.22265625,109140.3515625,271365.875,582691.0,284063.15625,172746.828125
2018-01-05,42094.4140625,111338.796875,12784.6240234375,44053.2109375,111002.8203125,271735.09375,593340.6875,285013.125,175648.484375
2018-01-08,42013.65234375,112243.9921875,12784.6240234375,45771.359375,112492.796875,272842.65625,607793.875,285013.125,183773.203125
2018-01-09,40705.2578125,111791.390625,13061.689453125,46183.70703125,113610.28125,278749.90625,621486.375,283113.125,182612.546875
2018-01-10,39445.328125,115864.765625,13615.822265625,45359.0,115845.234375,275057.90625,610075.9375,290238.40625,179517.421875
2018-01-11,38960.734375,118580.3359375,13457.4990234375,46527.34375,115472.7578125,270627.4375,603990.4375,292138.5,177389.515625
2018-01-12,38928.44921875,118580.3359375,13615.822265625,46527.34375,114727.75,285395.625,632896.75,285013.125,175841.96875
2018-01-15,39203.04296875,122201.1171875,13378.3369140625,46458.61328125,115472.7578125,280965.28125,638221.625,284063.15625,178163.296875
2018-01-16,40382.203125,123106.3125,13022.109375,45221.55078125,117707.6796875,279119.125,629854.0,289763.4375,174681.296875
2018-01-17,40075.296875,121295.921875,12665.880859375,44946.640625,117335.2265625,284657.34375,604751.125,288813.34375,171779.59375
2018-01-18,40301.44140625,121748.5234375,12349.234375,45152.828125,115472.7578125,284288.0625,608554.5625,292138.5,174681.296875
2018-01-19,39833.015625,120843.328125,12428.3955078125,46114.9921875,120687.6328125,284657.34375,589537.25,294038.5625,170425.484375
2018-01-22,38960.734375,123106.3125,12230.4912109375,45152.828125,121060.1171875,278749.90625,589537.25,297363.71875,172746.828125
2018-01-23,39703.78125,127179.6796875,12586.7197265625,47145.8671875,119942.6640625,280596.0,613879.4375,297363.71875,171973.046875
2018-01-24,39849.16796875,127632.28125,12665.880859375,46389.87890625,116590.203125,285764.84375,618443.5625,290238.40625,169845.125
2018-01-25,40592.1875,128084.859375,12745.04296875,45771.359375,118080.1875,289456.96875,616161.5,294513.625,176615.734375
2018-01-26,41012.16796875,128537.4765625,12784.6240234375,46321.15625,113610.28125,291672.25,635939.5,296413.71875,179323.96875
2018-01-29,41367.54296875,129442.6640625,13378.3369140625,46183.70703125,115100.25,289456.96875,668649.3125,295938.6875,180291.171875
2018-01-30,40220.68359375,129895.25,13259.5947265625,45977.52734375,116217.734375,280226.75,663324.5,294038.5625,180097.765625
